,country_name,country_iso2,week,category,weekly_rank,show_title,season_title,cumulative_weeks_in_top_10
42320,Venezuela,VE,2021-12-05,Films,1,Spoiled Brats,,2
42342,Venezuela,VE,2021-11-28,Films,3,Spoiled Brats,,1
